Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1uF,
"C10, C3, C4, C9",0402,4,100nF,C159815
"C11, C12, C15, C16, C17, C5, C6, C7, C8",0402,9,100nF,
"C13, C14",0402,2,3pF,
"R1, R2",0402,2,27,C966818
"R3, R4",0603,2,5.1k,C403509
R5,0603,1,1k,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,Texas_X2SON-4_1x1mm_P0.65mm,1,TLV74133PDQNR,C485136
USB1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle,C2988369
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C2933034
