Designator,Mid X,Mid Y,Rotation,Layer
C1,134.8232,-53.213,0.0,top
C10,142.0622,-71.0972,270.0,top
C11,143.002,-71.1174,90.0,top
C12,140.4366,-83.3374,90.0,top
C13,137.0558,-85.1154,180.0,top
C14,139.192,-85.1154,0.0,top
C15,135.001,-72.7684,270.0,top
C16,144.9578,-71.1174,270.0,top
C17,143.9672,-71.0972,270.0,top
C2,134.8102,-54.737,0.0,top
C3,139.319,-70.7364,90.0,top
C4,145.7452,-78.3336,0.0,top
C5,139.4714,-83.3374,270.0,top
C6,133.9062,-77.6478,180.0,top
C7,142.1892,-83.7946,90.0,top
C8,134.394,-58.4962,180.0,top
C9,138.3792,-70.7364,270.0,top
R1,140.2842,-70.4616,270.0,top
R2,141.1986,-70.4448,270.0,top
R3,136.7922,-51.3588,180.0,top
R4,141.4018,-52.07,270.0,top
R5,133.2108,-51.3588,0.0,top
U1,139.7094,-77.1737,90.0,top
U2,135.7376,-63.881,0.0,top
U3,137.1802,-53.897,90.0,top
USB1,139.7,-45.72,180.0,top
Y1,137.7119,-87.4437,180.0,top
